"BL","EM","SF","BS"
21.312,7.039,5.326,0.932
21.206,6.979,5.237,0.871
20.709,6.779,5.06,0.742
19.542,6.601,4.479,0.513
20.449,6.795,4.912,0.577
20.841,6.919,5.108,0.784
19.06,6.447,4.246,0.358
18.597,6.261,4.032,0.215
19.346,6.572,4.358,0.432
18.72,6.455,4.072,0.372
18.587,6.295,4.068,0.239
19.813,6.775,4.604,0.637
19.989,6.737,4.686,0.779
19.116,6.512,4.299,0.588
18.769,6.335,4.089,0.47
18.708,6.271,3.978,0.457
19.323,6.55,4.404,0.588
17.433,5.948,3.486,0.104
19.195,6.213,4.3,0.405
19.436,6.387,4.404,0.519
20.136,6.725,4.723,0.652
16.74,6.168,3.201,0.104
18.589,6.531,3.989,0.336
19.422,6.615,4.382,0.432
24.42,7.874,6.999,1.73
25.288,8.034,7.406,1.873
26.119,8.222,7.771,1.946
23.113,7.288,6.329,1.513
25.209,7.955,7.296,1.792
25.444,8.045,7.477,1.847
23.699,7.593,6.609,1.482
24.303,7.775,6.861,1.583
24.793,8.123,7.202,1.703
23.438,7.65,6.457,1.477
24.197,7.794,6.833,1.583
24.741,7.996,7.152,1.728
24.17,7.766,6.846,1.615
24.174,7.877,6.826,1.692
25.052,8.287,7.332,1.773
23.846,7.639,6.615,1.56
24.822,8.041,7.129,1.721
25.2,8.27,7.356,1.785
23.695,7.46,6.567,1.543
24.941,7.929,7.286,1.703
25.007,8.081,7.287,1.787
21.183,7.156,5.388,0.924
21.875,7.336,5.762,1.068
22.095,7.447,5.79,1.182
25.166,7.913,7.211,1.813
24.56,7.854,7.02,1.701
22.007,8.259,7.322,1.169
21.115,7.913,6.557,0.928
26.194,8.454,7.816,2.145
25.674,8.208,7.534,2.046
25.93,8.1,7.669,2.037
21.39,7.475,5.294,0.875
18.441,6.652,3.946,0.14
16.441,6.315,2.997,-0.4
16.294,6.572,3.017,-0.478
20.289,7.719,4.866,0.239
17.163,7.086,3.396,-0.236
20.289,7.437,4.859,0.47
